Owner_info,bhk_info,area_info,location_info,cons_info,prince_in_cr_info,price_sq_ft
OWNER,2,1172 ,Varthur,Ready to move,80 L,"6,825 / sq ft"
OWNER,3,1424 ,Kannamangala,Under Construction,1.1 Cr,"7,724 / sq ft"
OWNER,3,1007 ,Horamavu,Ready to move,1.2 Cr,"11,916 / sq ft"
OWNER,3,1750 ,Horamavu,Ready to move,1.2 Cr,"6,857 / sq ft"
OWNER,Residential Plot,1200 ,Begur,Resale,87 L,"7,250 / sq ft"
OWNER,Residential Plot,600 ,Kumaraswamy Layout,Resale,66 L,"11,000 / sq ft"
OWNER,1,1000 ,Chikkalasandra,Ready to move,85 L,"8,500 / sq ft"
OWNER,1,1000 ,Chikkalasandra,Ready to move,85 L,"8,500 / sq ft"
OWNER,1,1000 ,Chikkalasandra,Ready to move,85 L,"8,500 / sq ft"
OWNER,1,1000 ,Chikkalasandra,Ready to move,85 L,"8,500 / sq ft"
OWNER,Residential Plot,2400 ,Jakkur,Resale,2.12 Cr,"8,854 / sq ft"
OWNER,Residential Plot,2400 ,Jakkur,Resale,2.12 Cr,"8,854 / sq ft"
OWNER,Residential Plot,3000 ,Guddadahalli,Resale,3.5 Cr,"11,666 / sq ft"
OWNER,Residential Plot,3000 ,Guddadahalli,Resale,3.5 Cr,"11,666 / sq ft"
OWNER,3,1010 ,Electronic City Phase 2,Under Construction,66 L,"6,534 / sq ft"
OWNER,3,2400 ,Begur,Under Construction,48 L,"2,000 / sq ft"
OWNER,3,1670 ,Budigere,Ready to move,98 L,"5,868 / sq ft"
OWNER,2,1314 ,Kadugodi,Ready to move,1.05 Cr,"7,990 / sq ft"
OWNER,2,1146 ,Kengeri,Ready to move,46 L,"4,013 / sq ft"
OWNER,10,8280 ,Kengeri Satellite Town,Ready to move,4.4 Cr,"5,314 / sq ft"
OWNER,3,1430 ,Jayanagar,Ready to move,1.3 Cr,"9,090 / sq ft"
OWNER,3,1455 ,Gottigere,Ready to move,71 L,"4,879 / sq ft"
OWNER,5,4200 ,Magadi,Ready to move,1 Cr,"2,380 / sq ft"
OWNER,3,1075 ,Doddaballapur,Ready to move,30 L,"2,790 / sq ft"
OWNER,3,1500 ,Vidyaranyapura,Under Construction,65 L,"4,333 / sq ft"
OWNER,10,4000 ,Kalyan Nagar,Ready to move,2.4 Cr,"6,000 / sq ft"
OWNER,2,2030 ,Krishnarajapura,Ready to move,1.4 Cr,"6,896 / sq ft"
OWNER,2,1127 ,New Thippasandra,Ready to move,68 L,"6,033 / sq ft"
AGENT,3,1660 ,Kengeri,Under Construction,95 L,"5,722 / sq ft"
AGENT,2,1321 ,Kengeri,Under Construction,66 L,"4,996 / sq ft"
OWNER,5,5000 ,Koramangala,Ready to move,12.3 Cr,"24,600 / sq ft"
OWNER,2,1150 ,Hebbal,Ready to move,70 L,"6,086 / sq ft"
OWNER,3,2035 ,Domlur,Ready to move,2.2 Cr,"10,810 / sq ft"
OWNER,Residential Plot,2400 ,Kengeri Satellite Town,Resale,4.3 Cr,"17,916 / sq ft"
OWNER,2,1125 ,Gottigere,Ready to move,59.06 L,"5,250 / sq ft"
OWNER,3,3200 ,Vidyamanya Nagar,Ready to move,1.25 Cr,"3,906 / sq ft"
OWNER,3,1600 ,Horamavu,Ready to move,85 L,"5,312 / sq ft"
OWNER,Residential Plot,1200 ,Sunkadakatte,Resale,84 L,"7,000 / sq ft"
OWNER,2,1257 ,Mathikere,Ready to move,80 L,"6,364 / sq ft"
OWNER,3,1410 ,Gottigere,Ready to move,70.5 L,"5,000 / sq ft"
AGENT,Residential Plot,1200 ,Devanahalli,New,29.99 L,"2,499 / sq ft"
OWNER,4,2423 ,Kogilu,Under Construction,1.9 Cr,"7,841 / sq ft"
OWNER,6,2400 ,Kalyan Nagar,Ready to move,1.6 Cr,"6,666 / sq ft"
OWNER,4,1800 ,JP Nagar Phase 9,Ready to move,92 L,"5,111 / sq ft"
OWNER,2,1169 ,Begur,Ready to move,62.99 L,"5,389 / sq ft"
OWNER,Residential Plot,1200 ,Electronic City Phase II,Resale,66 L,"5,500 / sq ft"
OWNER,1,700 ,Uttarahalli,Ready to move,38 L,"5,428 / sq ft"
OWNER,3,1425 ,Chikkasandra,Ready to move,69 L,"4,842 / sq ft"
OWNER,2,1200 ,Kaggadasapura,Under Construction,1.02 Cr,"8,500 / sq ft"
OWNER,2,1160 ,CV Raman Nagar,Ready to move,56.99 L,"4,913 / sq ft"
OWNER,5,3700 ,Gnana bharathi,Ready to move,2.4 Cr,"6,486 / sq ft"
OWNER,3,1200 ,Hosakerehalli,Ready to move,81 L,"6,750 / sq ft"
OWNER,3,1374 ,Electronic City Phase 1,Ready to move,85 L,"6,186 / sq ft"
OWNER,2,1000 ,Krishnarajapura,Ready to move,40 L,"4,000 / sq ft"
OWNER,2,1025 ,Kaggadasapura,Ready to move,44.9 L,"4,380 / sq ft"
OWNER,2,1350 ,Kartik Nagar,Ready to move,50 L,"3,703 / sq ft"
AGENT,2,900 ,Kodipalya,Ready to move,33 L,"3,666 / sq ft"
OWNER,2,1146 ,Anekal City,Under Construction,39.49 L,"3,445 / sq ft"
OWNER,Residential Plot,1200 ,Malur,Resale,15 L,"1,250 / sq ft"
OWNER,Residential Plot,1500 ,Kaggalipura,Resale,33 L,"2,200 / sq ft"
OWNER,3,1540 ,Kalyan Nagar,Ready to move,1.13 Cr,"7,337 / sq ft"
OWNER,Residential Plot,13000 ,Tharalu,Resale,1.2 Cr,923 / sq ft
OWNER,6,4000 ,Subramanyapura,Under Construction,1.69 Cr,"4,225 / sq ft"
AGENT,4,5000 ,RR Nagar,Ready to move,2.7 Cr,"5,400 / sq ft"
AGENT,2,1726 ,Talaghattapura,Ready to move,75.35 L,"4,365 / sq ft"
AGENT,3,3350 ,RR Nagar,Under Construction,2.3 Cr,"6,865 / sq ft"
AGENT,4,5000 ,RR Nagar,Under Construction,3.35 Cr,"6,700 / sq ft"
OWNER,4,1600 ,Ulsoor,Ready to move,85 L,"5,312 / sq ft"
OWNER,10,4300 ,Mahadevapura,Ready to move,1.69 Cr,"3,930 / sq ft"
OWNER,7,4000 ,Jalahalli West,Ready to move,1.5 Cr,"3,750 / sq ft"
OWNER,2,1450 ,Hoskote,Ready to move,55 L,"3,793 / sq ft"
OWNER,5,2350 ,Medahalli,Ready to move,95 L,"4,042 / sq ft"
OWNER,5,2300 ,Medahalli,Ready to move,95 L,"4,130 / sq ft"
OWNER,2,1035 ,Hesaraghatta,Ready to move,37 L,"3,574 / sq ft"
OWNER,2,1222 ,Sarjapur Road Post Railway Crossing,Ready to move,87 L,"7,119 / sq ft"
OWNER,Residential Plot,1860 ,Kaggadasapura,Resale,1.58 Cr,"8,500 / sq ft"
OWNER,5,4000 ,Benson Town,Ready to move,4.4 Cr,"11,000 / sq ft"
OWNER,3,2000 ,Ullal Uppanagar,Ready to move,96 L,"4,800 / sq ft"
OWNER,2,1200 ,Attibele,Ready to move,29 L,"2,416 / sq ft"
AGENT,Residential Plot,680 ,Kalyan Nagar,Resale,85 L,"12,500 / sq ft"
OWNER,2,1241 ,Whitefield,Ready to move,69 L,"5,560 / sq ft"
OWNER,3,1525 ,Jayanagar,Ready to move,1.65 Cr,"10,819 / sq ft"
OWNER,1,468 ,Kengeri Satellite Town,Ready to move,60.84 L,"13,000 / sq ft"
OWNER,2,1085 ,Electronic City Phase 1,Ready to move,33 L,"3,041 / sq ft"
AGENT,3,2200 ,Sunkalpalya,Ready to move,1.15 Cr,"5,227 / sq ft"
AGENT,4,4300 ,Banashankari,Ready to move,3.9 Cr,"9,069 / sq ft"
AGENT,2,2400 ,Chikkalasandra,Ready to move,75 L,"3,125 / sq ft"
AGENT,4,4000 ,Subramanyapura,Ready to move,2.1 Cr,"5,250 / sq ft"
AGENT,3,2200 ,Sunkalpalya,Ready to move,1.2 Cr,"5,454 / sq ft"
AGENT,3,2000 ,Vajarahalli,Ready to move,95 L,"4,750 / sq ft"
OWNER,2,1080 ,Electronic City Phase 1,Ready to move,25 L,"2,314 / sq ft"
OWNER,3,1515 ,Hosa Road,Ready to move,1.25 Cr,"8,250 / sq ft"
OWNER,2,1175 ,Electronic City Phase 1,Ready to move,70.3 L,"5,982 / sq ft"
OWNER,3,2500 ,RMV Extension Stage 2,Under Construction,2.65 Cr,"10,600 / sq ft"
OWNER,2,1192 ,ITPL,Ready to move,87 L,"7,298 / sq ft"
OWNER,2,1157 ,Hulimavu,Ready to move,52 L,"4,494 / sq ft"
OWNER,4,4300 ,Mullur,Ready to move,1.8 Cr,"4,186 / sq ft"
OWNER,2,1010 ,Junnasandra,Ready to move,56 L,"5,544 / sq ft"
OWNER,3,1960 ,Whitefield Hope Farm Junction,Ready to move,1.5 Cr,"7,653 / sq ft"
OWNER,2,1160 ,JP Nagar Phase 8,Ready to move,62 L,"5,344 / sq ft"
OWNER,2,980 ,Vibhutipura,Ready to move,45 L,"4,591 / sq ft"
OWNER,Residential Plot,1200 ,Singasandra,Resale,1.2 Cr,"10,000 / sq ft"
AGENT,3,1800 ,Hosakerehalli,Ready to move,97 L,"5,388 / sq ft"
AGENT,3,1800 ,Hemmigepura,Ready to move,82 L,"4,555 / sq ft"
OWNER,3,2000 ,Hosur,Ready to move,79.8 L,"3,990 / sq ft"
OWNER,3,2285 ,byatarayanapura,Ready to move,1.5 Cr,"6,564 / sq ft"
OWNER,2,872 ,Thanisandra,Ready to move,35 L,"4,013 / sq ft"
OWNER,3,1271 ,Jakkur,Under Construction,57.19 L,"4,500 / sq ft"
OWNER,4,3200 ,Bommasandra,Ready to move,1.3 Cr,"4,062 / sq ft"
OWNER,Residential Plot,2400 ,Devanahalli,Resale,75 L,"3,125 / sq ft"
AGENT,4,2266 ,Kannamangala,Under Construction,1.58 Cr,"6,985 / sq ft"
AGENT,3,1906 ,Kannamangala,Under Construction,1.3 Cr,"6,821 / sq ft"
AGENT,3,1366 ,Kannamangala,Under Construction,92.99 L,"6,808 / sq ft"
AGENT,3,1765 ,Mahadevapura,Under Construction,1.14 Cr,"6,490 / sq ft"
AGENT,2,1365 ,Mahadevapura,Under Construction,88.58 L,"6,490 / sq ft"
AGENT,3,2000 ,Mahadevapura,Under Construction,1.29 Cr,"6,490 / sq ft"
AGENT,2,1345 ,Mahadevapura,Under Construction,87.29 L,"6,490 / sq ft"
AGENT,3,1999 ,Mahadevapura,Under Construction,1.29 Cr,"6,490 / sq ft"
AGENT,3,1475 ,Mahadevapura,Under Construction,95.72 L,"6,490 / sq ft"
AGENT,3,2007 ,Mahadevapura,Under Construction,1.3 Cr,"6,490 / sq ft"
AGENT,3,2010 ,Mahadevapura,Under Construction,1.3 Cr,"6,490 / sq ft"
AGENT,3,1995 ,Mahadevapura,Under Construction,1.29 Cr,"6,490 / sq ft"
AGENT,3,1835 ,Mahadevapura,Under Construction,1.19 Cr,"6,490 / sq ft"
AGENT,2,1444 ,Mahadevapura,Under Construction,93.71 L,"6,490 / sq ft"
AGENT,3,1839 ,Mahadevapura,Under Construction,1.19 Cr,"6,490 / sq ft"
AGENT,3,2169 ,Mahadevapura,Under Construction,1.4 Cr,"6,490 / sq ft"
AGENT,3,2165 ,Mahadevapura,Under Construction,1.4 Cr,"6,490 / sq ft"
AGENT,2,1449 ,Mahadevapura,Under Construction,94.04 L,"6,490 / sq ft"
AGENT,3,2176 ,Mahadevapura,Under Construction,1.41 Cr,"6,490 / sq ft"
AGENT,3,2175 ,Mahadevapura,Under Construction,1.41 Cr,"6,490 / sq ft"
AGENT,3,2172 ,Mahadevapura,Under Construction,1.4 Cr,"6,490 / sq ft"
AGENT,3,1827 ,Mahadevapura,Under Construction,1.18 Cr,"6,490 / sq ft"
AGENT,3,1825 ,Mahadevapura,Under Construction,1.18 Cr,"6,490 / sq ft"
OWNER,2,1260 ,Hebbal,Ready to move,65 L,"5,158 / sq ft"
OWNER,3,1520 ,Jakkur,Ready to move,78 L,"5,131 / sq ft"
OWNER,3,1742 ,Talaghattapura,Ready to move,95 L,"5,453 / sq ft"
OWNER,3,2744 ,Jakkur,Ready to move,2.8 Cr,"10,204 / sq ft"
OWNER,Residential Plot,1440 ,Horamavu,Resale,64.8 L,"4,500 / sq ft"
OWNER,2,929 ,Subramanyapura,Ready to move,52 L,"5,597 / sq ft"
OWNER,3,1382 ,Kengeri,Ready to move,65.07 L,"4,708 / sq ft"
OWNER,3,1479 ,Kengeri,Ready to move,69.53 L,"4,701 / sq ft"
OWNER,2,1020 ,Kengeri,Ready to move,48.42 L,"4,747 / sq ft"
OWNER,3,1357 ,Kengeri,Ready to move,63.92 L,"4,710 / sq ft"
OWNER,5,5000 ,Nagarbhavi,Ready to move,3.35 Cr,"6,700 / sq ft"
OWNER,5,5000 ,Mallathahalli,Under Construction,3.35 Cr,"6,700 / sq ft"
OWNER,3,1440 ,JP Nagar Phase 7,Ready to move,83 L,"5,763 / sq ft"
OWNER,3,1410 ,Banashankari,Ready to move,96 L,"6,808 / sq ft"
OWNER,2,1050 ,Kaggadasapura,Ready to move,43 L,"4,095 / sq ft"
OWNER,2,1199 ,Ramamurthy Nagar,Under Construction,59 L,"4,920 / sq ft"
OWNER,2,1080 ,Anjanapura Township,Ready to move,44 L,"4,074 / sq ft"
OWNER,2,1100 ,Bilekahalli,Ready to move,80 L,"7,272 / sq ft"
OWNER,Residential Plot,600 ,Malur,Resale,6 L,"1,000 / sq ft"
OWNER,Residential Plot,1200 ,Malur,Resale,15 L,"1,250 / sq ft"
AGENT,Residential Plot,4000 ,Banashankari,Resale,7.9 Cr,"19,750 / sq ft"
AGENT,Residential Plot,3300 ,Uttarahalli Hobli,Resale,2.6 Cr,"7,878 / sq ft"
OWNER,2,1060 ,Sarjapur,Under Construction,30 L,"2,830 / sq ft"
OWNER,3,1689 ,Varthur,Under Construction,1.2 Cr,"7,104 / sq ft"
AGENT,4,5000 ,Banashankari,Ready to move,1.82 Cr,"3,640 / sq ft"
OWNER,3,1691 ,Kudlu Gate,Ready to move,2.5 Cr,"14,784 / sq ft"
OWNER,3,1291 ,JP Nagar Phase 7,Ready to move,88 L,"6,816 / sq ft"
OWNER,2,1000 ,Jakkur,Ready to move,42.5 L,"4,250 / sq ft"
OWNER,Residential Plot,1200 ,Dandupalya,Resale,26.4 L,"2,200 / sq ft"
OWNER,3,1534 ,Hebbal,Ready to move,65 L,"4,237 / sq ft"
OWNER,4,1225 ,JP Nagar Phase 6,Ready to move,65 L,"5,306 / sq ft"
OWNER,3,1800 ,JP Nagar Phase 7,Ready to move,80 L,"4,444 / sq ft"
OWNER,Residential Plot,1200 ,Nelamangala,Resale,19 L,"1,583 / sq ft"
OWNER,Residential Plot,1680 ,Kasavanahalli,Resale,1.25 Cr,"7,440 / sq ft"
OWNER,2,1448 ,Whitefield,Under Construction,48 L,"3,314 / sq ft"
OWNER,5,2100 ,J. P. Nagar,Ready to move,1.4 Cr,"6,666 / sq ft"
OWNER,3,1514 ,Bellandur,Ready to move,71 L,"4,689 / sq ft"
OWNER,2,1339 ,Koramangala,Under Construction,1.65 Cr,"12,322 / sq ft"
OWNER,Residential Plot,1500 ,HSR Layout,Resale,75 L,"5,000 / sq ft"
OWNER,3,1460 ,Jakkur,Ready to move,76 L,"5,205 / sq ft"
OWNER,2,1489 ,RMV,Ready to move,1.3 Cr,"8,730 / sq ft"
OWNER,3,1575 ,Sahakar Nagar,Ready to move,75 L,"4,761 / sq ft"
OWNER,3,1258 ,Whitefield,Under Construction,57 L,"4,531 / sq ft"
OWNER,2,900 ,Begur,Ready to move,38 L,"4,222 / sq ft"
OWNER,10,6000 ,J. P. Nagar,Ready to move,2.6 Cr,"4,333 / sq ft"
OWNER,Residential Plot,1200 ,Begur,Resale,72 L,"6,000 / sq ft"
OWNER,2,1100 ,Vidyaranyapura,Ready to move,52 L,"4,727 / sq ft"
OWNER,4,1250 ,Krishnarajapura,Ready to move,43 L,"3,440 / sq ft"
OWNER,3,2400 ,Brookefield,Ready to move,3.15 Cr,"13,125 / sq ft"
OWNER,4,1728 ,Ramamurthy Nagar,Under Construction,95 L,"5,497 / sq ft"
OWNER,4,1860 ,Subramanyapura,Ready to move,99 L,"5,322 / sq ft"
OWNER,3,1289 ,Gottigere,Ready to move,48 L,"3,723 / sq ft"
OWNER,3,1856 ,Thanisandra,Ready to move,1.35 Cr,"7,273 / sq ft"
OWNER,2,1120 ,Kengeri Satellite Town,Ready to move,38 L,"3,392 / sq ft"
OWNER,3,1350 ,RR Nagar,Ready to move,54 L,"4,000 / sq ft"
OWNER,2,1000 ,Mathikere,Ready to move,45 L,"4,500 / sq ft"
OWNER,Residential Plot,2260 ,Bilekahalli,Resale,2.4 Cr,"10,619 / sq ft"
OWNER,2,1130 ,Chinnapanna Halli,Ready to move,75 L,"6,637 / sq ft"
OWNER,2,1400 ,Whitefield,Ready to move,79.99 L,"5,714 / sq ft"
OWNER,3,1314 ,Varthur,Ready to move,60 L,"4,566 / sq ft"
OWNER,2,708 ,Nelamangala,Ready to move,38 L,"5,367 / sq ft"
OWNER,2,880 ,Jigani,Ready to move,35 L,"3,977 / sq ft"
OWNER,5,2000 ,Nayandahalli,Ready to move,1.9 Cr,"9,500 / sq ft"
OWNER,2,1089 ,Vidyaranyapura,Under Construction,58 L,"5,325 / sq ft"
OWNER,3,1425 ,Horamavu,Ready to move,50 L,"3,508 / sq ft"
OWNER,3,1650 ,New Thippasandra,Under Construction,3 Cr,"18,181 / sq ft"
OWNER,2,1049 ,Battarahalli,Ready to move,60 L,"5,719 / sq ft"
OWNER,2,1083 ,Krishnarajapura,Ready to move,63 L,"5,817 / sq ft"
OWNER,3,1250 ,Ejipura,Ready to move,1.3 Cr,"10,400 / sq ft"
OWNER,3,3000 ,Basaveswarnagar,Ready to move,3.75 Cr,"12,500 / sq ft"
OWNER,4,1800 ,Kengeri Satellite Town,Ready to move,98 L,"5,444 / sq ft"
OWNER,2,1004 ,Electronics City,Ready to move,46.5 L,"4,631 / sq ft"
OWNER,10,5000 ,Maraganahalli,Ready to move,1.55 Cr,"3,100 / sq ft"
OWNER,3,1655 ,Wilson Garden,Ready to move,1.4 Cr,"8,459 / sq ft"
OWNER,2,1004 ,Basapura,Ready to move,47 L,"4,681 / sq ft"
OWNER,2,1350 ,Vidyaranyapura,Ready to move,55 L,"4,074 / sq ft"
OWNER,2,1160 ,Kaggadasapura,Ready to move,55.99 L,"4,827 / sq ft"
OWNER,3,1951 ,Mallathahalli,Ready to move,1.15 Cr,"5,894 / sq ft"
OWNER,4,2440 ,Gottigere,Ready to move,2.2 Cr,"9,016 / sq ft"
OWNER,4,3662 ,Bommenahalli,Ready to move,3.75 Cr,"10,240 / sq ft"
OWNER,2,1004 ,Singasandra,Ready to move,47 L,"4,681 / sq ft"
OWNER,2,1000 ,Whitefield Hope Farm Junction,Ready to move,45 L,"4,500 / sq ft"
OWNER,5,4800 ,RR Nagar,Ready to move,2.8 Cr,"5,833 / sq ft"
OWNER,2,1311 ,K C Krishna Reddy Layout,Ready to move,85 L,"6,483 / sq ft"
OWNER,4,1311 ,K C Krishna Reddy Layout,Ready to move,85 L,"6,483 / sq ft"
OWNER,2,600 ,Dunnasandra,Under Construction,37 L,"6,166 / sq ft"
OWNER,2,1250 ,Banashankari,Ready to move,1 Cr,"8,000 / sq ft"
OWNER,3,1685 ,Varthur,Ready to move,89.3 L,"5,299 / sq ft"
OWNER,4,1180 ,NRI Layout,Ready to move,1.85 Cr,"15,677 / sq ft"
OWNER,2,900 ,Krishnarajapura,Ready to move,63 L,"7,000 / sq ft"
OWNER,2,1049 ,Battarahalli,Ready to move,60 L,"5,719 / sq ft"
OWNER,2,1083 ,Krishnarajapura,Ready to move,63 L,"5,817 / sq ft"
OWNER,3,1250 ,Ejipura,Ready to move,1.3 Cr,"10,400 / sq ft"
OWNER,3,3000 ,Basaveswarnagar,Ready to move,3.75 Cr,"12,500 / sq ft"
OWNER,2,1339 ,Battarahalli,Ready to move,71 L,"5,302 / sq ft"
OWNER,2,1350 ,Vidyaranyapura,Ready to move,55 L,"4,074 / sq ft"
OWNER,4,1750 ,Sarjapur,Under Construction,95 L,"5,428 / sq ft"
OWNER,2,1250 ,HSR Layout,Ready to move,66 L,"5,280 / sq ft"
OWNER,2,1060 ,Krishnarajapura,Ready to move,42.5 L,"4,009 / sq ft"
OWNER,3,1275 ,Krishnarajapura,Ready to move,52 L,"4,078 / sq ft"
OWNER,3,1545 ,CV Raman Nagar,Ready to move,69 L,"4,466 / sq ft"
OWNER,2,950 ,Bagalakunte,Ready to move,43 L,"4,526 / sq ft"
OWNER,3,1615 ,Jalahalli,Ready to move,75 L,"4,643 / sq ft"
OWNER,4,3500 ,Harlur,Ready to move,2.65 Cr,"7,571 / sq ft"
OWNER,2,1150 ,Hennur,Ready to move,49 L,"4,260 / sq ft"
OWNER,1,644 ,Begur,Ready to move,51 L,"7,919 / sq ft"
OWNER,2,2700 ,Shanti Nagar,Ready to move,2.5 Cr,"9,259 / sq ft"
OWNER,3,1518 ,Kuvempu Layout on Hennur Main Road,Ready to move,74.75 L,"4,924 / sq ft"
OWNER,3,1420 ,Brookefield,Ready to move,70 L,"4,929 / sq ft"
OWNER,3,1648 ,Indira Nagar,Ready to move,1.55 Cr,"9,405 / sq ft"
OWNER,10,4500 ,Abbigere,Ready to move,1.75 Cr,"3,888 / sq ft"
OWNER,6,3500 ,Abbigere,Ready to move,1.39 Cr,"3,984 / sq ft"
OWNER,2,1032 ,Kumaraswamy Layout,Ready to move,42 L,"4,069 / sq ft"
OWNER,3,1080 ,Kumbalgodu,Ready to move,52 L,"4,814 / sq ft"
OWNER,2,1280 ,RR Nagar,Ready to move,65 L,"5,078 / sq ft"
OWNER,3,1707 ,Kanakapura Road Beyond Nice Ring Road,Ready to move,1.3 Cr,"7,615 / sq ft"
OWNER,2,1247 ,Jakkur,Under Construction,62.5 L,"5,012 / sq ft"
OWNER,2,1060 ,Sarjapur,Under Construction,30 L,"2,830 / sq ft"
OWNER,2,1050 ,Kadugodi Industrial Area,Under Construction,42.37 L,"4,035 / sq ft"
OWNER,4,2800 ,Munnekollal,Ready to move,5.5 Cr,"19,642 / sq ft"
OWNER,3,1188 ,Basaveswarnagar,Ready to move,85 L,"7,154 / sq ft"
OWNER,2,770 ,Jnana Ganga Nagar,Under Construction,48 L,"6,233 / sq ft"
